Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123
,2006,3342902.7307999986,950291.8789999994,4293194.609800002,,0.01854771941114254,0.2213484282382132,138836.23899999773,41532.49999999988,180368.73899999913,0.23026440296841064,0.045702416899072146,2006,811953.3749999999,73143.35900000001,6485.609999999999,49710.56899999998,8758.716,240.25,,,950291.8789999994,2869411.260799998,378598.5,8932.42,85960.54999999999,3342902.7307999986,4293194.609800002,0.08379422234334391,94892.96999999999,0.30953415807579837,,2006,0.8544252486451065,0.07696936132609007,0.00682486101725384,0.0523108426984674,0.009216869252020627,0.00025281706106214147,,20813.11600000004,14680.458000000013,1563.431999999998,4273.593999999983,202.90000000000146,-1,41532.49999999988,180368.73899999913,0.3911127430325662,,,2023,279551.29300000006,198306.97200000004,257239.35300000006,41327.105000000025,1669.8700000000001,228.786,,,778323.3790000001,,,,,-317.50141800000006,,North America,2022.0,18954.189000000013,283.0999999999767,10172.955999999976,-212.52000000000226,51.90000000000009,0.7,29250.324999999964,0.0001111218128038633,0.493687,Marine energy,493.687,,,-5.0000000000011366e-05,Marine energy,,-0.05000000000001137,,,151.26407099999997,Bioenergy,151264.07099999997,,,,,,,,,,,,,,,,,,0.22722033938259492,Russian Federation (the),164941,27914,1216,51726,2554.38,2566.7,81.4,130.5,3.7,,,,251133.68000000002
,2007,3472008.8328,999740.5129999995,4471749.345800002,,0.02246818554227918,0.2235681018076259,129106.10200000135,49448.63400000008,178554.7360000005,0.27693823814340013,0.0520352063326431,2007,837302.9899999999,91516.42,8955.674,52710.143000000004,9012.736,242.55,,,999740.5129999995,2993232.590799999,379782.5,8854.192,90139.54999999999,3472008.8328,4471749.345800002,0.10049817196914981,98993.74199999998,0.30849739247922914,,2007,0.8375203156341433,0.09154017348499716,0.008957998484152662,0.052723824146956456,0.009015075294843038,0.0002426129549078303,,25349.61499999999,18373.060999999987,2470.064000000002,2999.5740000000224,254.02000000000044,2.3000000000000114,49448.63400000008,178554.7360000005,0.421510632629406,,,2024,338607.373,196170.19199999998,270134.909,43441.454999999994,1661.8700000000001,228.786,,,850244.585,,,,,-0.407929951182926,,,2023.0,29643.661999999997,-93.19999999998254,6603.140000000014,-275.28999999999724,47.20000000000027,0,35925.51200000003,,,Other renewable energy,,,,,Multiple renewables*,,0,,,150.07429399999998,Pumped storage,150074.294,,,9.61 TW,,,,,,,,,,,,,,,0.868529387692947,Brazil,30203.178,1990,,109981.651,53115.777,32959.31,,17807.109999999997,0.05,,179.725,,246236.80099999995
,2008,3575828.2328000013,1062883.8079999995,4638712.040800002,,0.02817685595708124,0.22913338846027878,103819.4000000013,63143.29500000004,166962.6950000003,0.3781880437423457,0.06315968411695254,2008,866475.944,115475.39600000002,15228.925000000001,56138.97699999997,9319.016,245.55,,,1062883.8079999995,3096203.045800001,378601.7,9096.937,91926.54999999999,3575828.2328000013,4638712.040800002,0.1229714104366148,101023.487,0.31075123769730656,,2008,0.8152122908245493,0.10864348024765476,0.014327930188960041,0.052817604875960246,0.008767671433000139,0.0002310224298759852,,29172.954000000143,23958.976000000024,6273.251,3428.833999999966,306.27999999999884,3,63143.29500000004,166962.6950000003,0.4787876052397963,,North America,2021,107567.162,180536.009,154198.98,14924.109999999999,3595.2,0.5,,,460821.961,,,,,,,,2024.0,39195.544999999984,-147.09999999997672,6519.315000000002,-75.6399999999976,29.199999999999818,0,45521.32000000001,,4.4 TW,Multiple renewables*,,,,,Other renewable energy,,0,,,68.32681600000004,Other non-renewable energy,68326.81600000004,,,in 2024,,,,,,,,,,,,,,,0.21385199714644781,Republic of Korea (the),92185.466,26050,4700,1815.126,26680.254,2261.13,,2786.4249999999997,254.58,,1308.634,,158041.61500000002
,2009,3698003.5548000014,1144020.8320000006,4842024.3868,,0.03586282474606887,0.23626911816445056,122175.32200000016,81137.02400000114,203312.34599999804,0.39907573542042507,0.07633668270163467,2009,896442,150104.493,23544.179,63931.194000000025,9754.416000000001,244.55,,,1144020.8320000006,3211954.8498000004,379947.7,9550.955,96550.05,3698003.5548000014,4842024.3868,0.15178803317455664,106101.005,0.314737888589438,,2009,0.7835888778640698,0.13120783188675353,0.02058020128780311,0.05588289322339891,0.008526432148046754,0.00021376358992735534,,29966.055999999982,34629.096999999965,8315.253999999999,7792.217000000055,435.40000000000146,-1,81137.02400000114,203312.34599999804,0.529281810976939,,,2022,126521.35100000001,180819.10899999997,164371.936,14711.589999999997,3647.1,1.2,,,490072.286,,,,,81.446832,,South America,2022.0,13417.323,2387.8710000000137,4040.3430000000008,922.1769999999997,31.970000000000006,0,20799.684000000016,,in 2024,,,,,,,,,,,15.411610999999999,Geothermal energy,15411.610999999999,,,,,,,,,,,,,,,,,,0.47421174892892537,France,18328.179,61400,2205.66,24640.531,21528.088,24591.614,16.15,3351.459,211.84,,491.22,,156764.74099999998
,2010,3851182.4960000003,1226911.5830000006,5078094.079,,0.043758937613806274,0.24160867520627133,153178.94119999884,82890.75099999993,236069.69219999947,0.3511283054911363,0.07245563077298918,2010,926313.1219999997,180840.54100000003,41371.460999999996,68221.84299999998,9914.716,249.9,,,1226911.5830000006,3358394.427,381693.5,11042.518999999998,100052.04999999999,3851182.4960000003,5078094.079,0.18111492717075436,111094.56899999999,0.31677339135016064,,2010,0.7549958243405053,0.14739492519731143,0.03372000197344292,0.0556045308767779,0.00808103545306573,0.00020368215889604157,,29871.12199999974,30736.04800000004,17827.281999999996,4290.648999999954,160.29999999999927,5.349999999999994,82890.75099999993,236069.69219999947,0.5858715165941744,,,2023,156165.013,180725.90899999999,170975.076,14436.3,3694.3,1.2,,,525997.7979999998,,,,,0.1661935072166068,,,2023.0,15073.387000000002,135.56099999998696,6555.276000000005,688.604000000003,0.20999999999999375,0,22453.037999999997,,,,,,,,,,,,,0.493687,Marine energy,493.687,,,,,,,,,,,,,,,,,,0.7075008156923046,Canada,32391,12669,174,83498,5773.4,17523.9,,2708,1.2,,38,,154776.5
,2011,3981455.0280000013,1331616.528,5313071.556000001,,0.05507155266327453,0.2506302642388127,130272.53200000105,104704.94499999937,234977.4770000009,0.44559566447297827,0.08534025307999665,2011,954265.366,220178.196,72420.90399999998,74445.66599999997,10058.466,247.93,,,1331616.528,3480215.419000001,386417.5,11548.899000000001,103273.20999999999,3981455.0280000013,5313071.556000001,0.2197322531280567,114822.109,0.3233598512445857,,2011,0.7166217495311834,0.16534654787643188,0.054385705251624804,0.05590623459128465,0.007553575514046188,0.00018618723542908745,,27952.244000000297,39337.65499999997,31049.442999999985,6223.822999999989,143.75,-1.9699999999999989,104704.94499999937,234977.4770000009,0.672242347293152,,,2024,195360.558,180578.809,177494.391,14360.660000000002,3723.5,1.2,,,571519.118,,,,,,,,2024.0,18456.27500000001,-1077.1209999999846,4780.130999999994,340.1839999999902,0,0,22499.46900000001,,,,,,,,,,,,,0,Other renewable energy,,,,,,,,,,,,,,,,,,,0.5243516922923916,Italy,57197.013,,3969.55,18969.427,36013.116,12992.300000000001,771.79,3367.913,,,4249.764,,137530.87300000002
,2012,4094333.5488000014,1445932.162000001,5540265.710799998,,0.0666451596861559,0.2609860677225917,112878.52080000006,114315.63400000101,227194.15479999688,0.5031627424597923,0.08584726277894399,2012,987534.1579999997,266937.92599999986,102293.96700000002,78393.88600000001,10517.565999999999,254.65900000000002,,,1445932.162000001,3596961.620800001,378876.7,12889.934000000001,105605.294,4094333.5488000014,5540265.710799998,0.2553590705730492,118495.228,0.3293720838050751,,2012,0.6829740591937944,0.18461303580852204,0.07074603476452719,0.05421684921342801,0.007273900032386161,0.00017612098734131335,,33268.79199999967,46759.729999999865,29873.06300000004,3948.220000000045,459.09999999999854,6.729000000000013,114315.63400000101,227194.15479999688,0.670361439800957,,South America,2021,21353.412,177454.031,29588.771999999997,18643.513000000003,51.4,0.05,,,247091.178,,,,,43.252722000000006,,Eurasia,2022.0,1878.795000000002,262.10999999998603,1018.1090000000004,280.2959999999998,15.167999999999893,0,3454.4779999999882,,,,,,,,,,,,,,Multiple renewables*,,,,,,,,,,,,,,,,,,,0.6522927811893281,Spain,36488.134,7117.29,3331.4,16808.810999999998,38587.416,31811.495,,1285.63,4.796,,237.46,,135672.432
,2013,4202423.622800002,1569868.1800000006,5772291.802800005,,0.07601186495581641,0.2719661849455521,108090.07400000049,123936.01799999969,232026.09200000763,0.5341469010304049,0.08571357720446059,2013,1034765.5720000002,299758.55700000003,139004.10800000004,85043.61099999996,10786.366,509.966,,,1569868.1800000006,3703568.818800003,376876.5,14249.06,107729.244,4202423.622800002,5772291.802800005,0.27949013209503987,121978.304,0.3372568031047356,,2013,0.6591416943045496,0.19094504928432904,0.08854508281071088,0.054172453511351464,0.006870873706096773,0.000324846382961912,,47231.414000000455,32820.63100000017,36710.14100000002,6649.724999999948,268.8000000000011,255.307,123936.01799999969,232026.09200000763,0.5610215103086527,,,2022,34770.735,179841.902,33629.115,19565.690000000002,83.37,0.05,,,267890.862,,,,,0.17504761744265918,,,2023.0,2337.5149999999994,3345.5530000000144,664.413999999997,142.37599999999975,0,0,6489.858000000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28348096626577163,Mexico,66527.5,1608,,12838.009,11992.133,7317.72,998.5,889.88,,,17893.61,,120065.352
,2014,4316667.196800005,1696346.9300000004,6013014.126800002,,0.08773497332206533,0.282112580184933,114243.57400000282,126478.74999999977,240722.3239999963,0.5254134635224015,0.08056647788096433,2014,1067128.3139999998,349493.811,178057.82300000006,89909.78899999999,11244.416,512.777,,,1696346.9300000004,3807482.4348000027,384746.5,14967.518,109470.744,4316667.196800005,6013014.126800002,0.310992771979727,124438.262,0.3460982106668547,,2014,0.6290743332792187,0.20602731954129214,0.10496545243843487,0.05300200531503303,0.006628606331135339,0.0003022830948855491,,32362.74199999962,49735.25399999996,39053.715000000026,4866.178000000029,458.0499999999993,2.8110000000000355,126478.74999999977,240722.3239999963,0.7020070090825545,,,2023,49844.122,179977.463,40184.391,20254.294000000005,83.58,0.05,,,290343.9,,,,,,,,2024.0,9103.01,588,1201.42,-4,43,2.6,10934.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5932119975134943,Türkiye,46811.189,,,32386.44,19883.44,12973.07,1734.338,2006.4430000000002,,,493.576,,116288.49600000001
,2015,4424980.541800006,1849073.3420000009,6274053.883800005,,0.10234281819892449,0.2947174787220784,108313.3450000016,152726.41200000048,261039.757000003,0.5850695455558469,0.09003253361622227,2015,1099059.2219999998,416384.98299999995,225719.37300000005,95553.01000000004,11843.465999999999,513.288,,,1849073.3420000009,3907845.515800003,390232.5,15000.782,111901.744,4424980.541800006,6274053.883800005,0.3472573755811573,126902.52600000001,0.35691530284462925,,2015,0.5943837905376061,0.22518575847815114,0.12207161710300615,0.05167616006872268,0.006405081794749055,0.00027759201776432284,,31930.908000000054,66891.17199999996,47661.54999999999,5643.221000000049,599.0499999999993,0.5109999999999673,152726.41200000048,261039.757000003,0.7500518116015166,,,2024,68300.39700000001,178900.342,44964.522,20594.477999999996,83.58,0.05,,,312843.3689999999,,,,,-197.02182899999988,,Oceania,2022.0,4675.531000000006,65.12599999999838,1465.130000000001,0.0019999999999527063,7,0,6212.789000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5249784780846471,Australia,53617.593,,810,8064.58,35864.94,15288,0.1,955,,,19,,114619.213
,2016,4531017.485800002,2017387.629,6548405.114800004,,0.11677864420325428,0.30807312523174785,106036.94399999548,168314.28699999908,274351.2309999997,0.6134992957257746,0.09102629040011274,2016,1135993.547,467316.3850000001,297397.48600000003,103986.92900000003,12169.373999999998,523.908,,,2017387.629,3998870.3688000017,399060.5,16091.832999999997,116994.78400000001,4531017.485800002,6548405.114800004,0.37906144560778415,133086.617,0.36901323095277083,,2016,0.5631012754663819,0.23164431975407943,0.14741712585370476,0.05154533888539079,0.006032243791458284,0.0002596962489849788,,36934.325000000186,50931.40200000018,71678.11299999998,8433.918999999994,325.90799999999945,10.620000000000005,168314.28699999908,274351.2309999997,0.7284557786826548,,Eurasia,2021,10017.506,86088.315,12746.400000000001,1756.1710000000003,1757.5700000000002,1.1,,,112367.062,,,,,-0.6297778649737017,,,2023.0,1924.2799999999952,66,1040,-0.005999999999858119,0,0,3030.2739999999953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5597027304282419,United Kingdom of Great Britain and Northern Ireland (the),37801.98,5883,2600,2190.157,17881.293,32145.648,,7823.66,9.8,,954.555,,107290.09300000001
,2017,4624621.333400002,2183975.609999998,6808596.943400004,,0.13313742662924208,0.3207673516519525,93603.84759999998,166587.98099999805,260191.82859999966,0.6402506254571835,0.08257608929751103,2017,1154453.2349999999,514977.58,391501.4959999999,109762.448,12753.979000000001,526.872,,,2183975.609999998,4088044.9964000024,398758.613,17974.359999999997,119843.36400000002,4624621.333400002,6808596.943400004,0.41505915718536834,137817.72400000002,0.3793342805383131,,2017,0.5286017067745554,0.23579822853424653,0.17926092865112184,0.050258092396920175,0.005839799190797745,0.00024124445235906294,,18459.68799999985,47661.19499999989,94104.0099999999,5775.518999999971,584.6050000000032,2.963999999999942,166587.98099999805,260191.82859999966,0.850992995707184,,,2022,11896.301000000001,86350.42499999999,13764.509000000002,2036.467,1772.738,1.1,,,115821.54000000001,,,,,,,,2024.0,5421.271000000001,351.5799999999999,2597.000000000002,85.07000000000016,226.4000000000001,-0.004,8681.317000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1426159763867234,Indonesia,86790,,,7056.2,941.787,152.29999999999998,2638.8,3650.465,,,18.235,,101247.787
,2018,4764924.123821002,2354049.8329999987,7118973.956821001,,0.14750005876814618,0.3306726288476558,140302.79042100068,170074.2230000007,310377.0134209972,0.5479601118827412,0.07787368238970437,2018,1173417.3940000003,563520.634,486528.4429999998,116860.0319999999,13196.476000000004,526.854,,,2354049.8329999987,4218346.379821001,404019.69,22192.39,120365.664,4764924.123821002,7118973.956821001,0.4460606832871581,142558.054,0.3874251457764319,,2018,0.4984675250075732,0.2393834769767171,0.20667720631044095,0.049642123272757396,0.005605860935909937,0.00022380749660196354,,18964.15900000045,48543.053999999946,95026.94699999987,7097.583999999901,442.497000000003,-0.017999999999915417,170074.2230000007,310377.0134209972,0.8441608520533956,,,2023,14233.816,89695.978,14428.922999999999,2178.843,1772.738,1.1,,,122311.398,,,,,-69.980839,,Africa,2022.0,2557.0210000000025,1746.1569999999992,836.0999999999995,-1.1599999999998545,86.60000000000002,0,5224.718000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13489159418610183,Iran (Islamic Republic of),81064,1020,1040,11781,781.638,376.3,,22.13,,,,,96085.068
,2019,4817572.816821004,2538219.3669999987,7355792.183821001,,0.16473522181135725,0.3450640398165121,52648.69300000183,184169.53399999999,236818.22699999996,0.7776831046032618,0.0782351891698463,2019,1189468.506,623066.9010000002,588691.1560000002,122644.2149999999,13823.755,524.8340000000001,,,2538219.3669999987,4270829.443821001,401304.79000000004,24826.01900000001,120612.56400000001,4817572.816821004,7355792.183821001,0.47740477941125137,145438.583,0.39962033776123473,,2019,0.4686232094296366,0.24547401580046352,0.23193076361078782,0.04831899740208702,0.00544624124286733,0.0002067725141583479,,16051.111999999732,59546.267000000225,102162.7130000004,5784.18299999999,627.278999999995,-2.019999999999982,184169.53399999999,236818.22699999996,0.8780441394829214,,,2024,23336.826,90283.978,15630.342999999999,2174.843,1815.738,3.7,,,133245.42799999999,,,,,-0.5721530466032283,,,2023.0,3508.487000000003,1587.025999999998,1120.4750000000004,221.12000000000012,35,0,6472.108000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05022452925072329,Saudi Arabia,89700,,,,4340.374,403,,,,,,,94443.374
,2020,4883173.070821002,2808097.0559999994,7691270.126820989,,0.18891892327809526,0.36510186350205104,65600.25399999786,269877.6890000007,335477.94299998786,0.8044573261259399,0.10632559679779674,2020,1209756.472,733362.2639999999,719664.2070000004,130658.20199999987,14164.775000000001,491.1360000000001,,,2808097.0559999994,4338520.866821002,396027.39,26305.390000000007,122319.424,4883173.070821002,7691270.126820989,0.5174416845369894,148624.814,0.4165923694223897,,2020,0.43081006385272186,0.26115987067934165,0.2562818138576477,0.04652909048169306,0.005044261190949379,0.0001748999376465997,,20287.966000000015,110295.36299999966,130973.05100000021,8013.986999999979,341.02000000000226,-33.69799999999998,269877.6890000007,335477.94299998786,0.8939917000697276,,Oceania,2021,24929.708999999995,13680.578000000001,11523.480999999998,1103.687,1093.1,0.004,,,52330.558999999994,,,,,,,,2024.0,2633.0149999999994,1336.6830000000045,708.3499999999985,77.49999999999955,-45,0,4710.5480000000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5791878029347283,Viet Nam,35575,,,23707,18666.278,6184.8,,455.735,,,36.265,,84625.078
,2021,4947365.946821002,3072574.847999999,8019940.7948209895,,0.21038798130400188,0.38311689906541024,64192.876000000164,264477.79199999943,328670.6680000005,0.8046893676560118,0.09418399247807177,2021,1233037.4260000002,824308.337,862990.8170000003,137296.72299999985,14450.982000000002,490.5630000000001,,,3072574.847999999,4391161.0668210015,399162.89,29959.066,127082.92400000001,4947365.946821002,8019940.7948209895,0.5491482673231858,157041.99000000002,0.4328882004019196,,2021,0.40130427637999094,0.26827933501328993,0.28086893230989585,0.04468458208247362,0.0047032156139032505,0.00015965860044689148,,23280.954000000143,90946.07300000021,143326.60999999987,6638.520999999979,286.20700000000033,-0.5729999999999791,264477.79199999943,328670.6680000005,0.8857934015117631,,,2022,29605.24,13745.704,12988.610999999999,1103.6889999999999,1100.1,0.004,,,58543.34799999999,,,,,11.711591000000007,,Middle East,2022.0,3930.1129999999976,350.2999999999993,542.8000000000002,11.400000000000006,0,0,4834.612999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305615912763235,Chinese Taipei,43189.215,951,2602,2122.624,14281.145,3890.247,7.489,417.584,,,333.232,,67794.53600000001
,2022,5021924.821821,3375095.803999997,8397020.625820994,,0.23334237086126336,0.40193968246564915,74558.87499999814,302520.9559999984,377079.8310000049,0.8022729701499056,0.09845844966052344,2022,1256962.7610000004,903007.7320000001,1056372.969,143564.55999999994,14695.641,492.141,,,3375095.803999997,4439594.510820997,397800.39,48016.57699999999,136513.34399999998,5021924.821821,8397020.625820994,0.5805407652955624,184529.92099999997,0.4493136747096073,,2022,0.3724228389340267,0.26755025173798025,0.31299051355758223,0.042536439952268704,0.0043541404017579145,0.00014581541638514046,,23925.335000000196,78699.39500000002,193382.15199999977,6267.837000000087,244.65899999999783,1.5779999999999177,302520.9559999984,377079.8310000049,0.8993808250427493,,,2023,31529.519999999997,13811.704,14028.610999999999,1103.683,1100.1,0.004,,,61573.62199999998,,,,,0.20004990148496476,,,2023.0,5715.035,176,327.9749999999999,23.89999999999999,0,0.1,6243.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4924941741115621,Poland,31794.279,,1359,988.4089999999999,20199.126,10059.321,,1176.298,,,258.161,,65834.594
,2023,5109891.772021,3860901.2719999994,8970793.04402099,,0.27108183379849576,0.4303857254374272,87966.95019999985,485805.4680000022,573772.4181999955,0.8466866872479546,0.14393827500370493,2023,1267306.7720000006,1018345.997,1413473.0320000001,146191.859,15091.521,492.091,,,3860901.2719999994,4503229.229021001,397506.69000000006,67344.55900000001,141811.294,5109891.772021,8970793.04402099,0.629857864182133,209155.853,0.47469693494247056,,2023,0.3282411754972223,0.2637586214351663,0.36609924274696665,0.03786469756691567,0.00390880779818086,0.00012745495554852409,,10344.011000000173,115338.2649999999,357100.0630000001,2627.2990000000573,395.880000000001,-0.05000000000001137,485805.4680000022,573772.4181999955,0.9724845830677185,,,2024,36950.791,14163.284,16625.611,1188.7530000000002,1326.5,,,,70254.939,,,,,,,,2024.0,3654.074999999997,102,11.409999999999854,222.1099999999999,0,0,3989.5949999999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20718894819609482,South Africa,47053.4,1934,2732,751.65,9057.733,3442,,264.685,,,,,65235.46799999999
,2024,5167044.974020995,4442755.095,9609800.069020994,,0.31207343758042644,0.46231503913614813,57153.201999994926,581853.8230000003,639007.0250000041,0.9105593526143106,0.15070414444930683,2024,1276622.3840000008,1132656.9090000005,1866306.4330000004,151264.071,15411.610999999999,493.687,,,4442755.095,4548335.374021,400308.49,68326.81600000004,150074.294,5167044.974020995,9609800.069020992,0.6750233307649837,218401.11000000004,0.5039713157625965,,2024,0.2873492588949472,0.2549447099334204,0.4200786208315632,0.034047357499007044,0.0034689310282587163,0.00011112181280386333,,9315.612000000197,114310.91200000048,452833.4010000003,5072.2119999999995,320.0899999999983,1.5960000000000036,581853.8230000003,639007.0250000022,0.9747195783226821,,Africa,2021,9539.829999999998,34279.708,6909.753,1944.0600000000002,870.43,,,,53543.781000000025,,,,,11.696825999999943,,Central America and the Caribbean,2022.0,405.05999999999995,44.92399999999725,117.9200000000003,-34.49300000000039,16.019999999999982,0,549.4309999999971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5941083212086058,Netherlands (Kingdom of the),23490.8,512,,37.7,24048.437,11679.118,,873.873,2.05,,1030.26,,61674.23800000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,2022,12096.851,36025.865,7745.852999999999,1942.9000000000003,957.03,,,,58768.49899999997,,,,,0.21845349322641106,,,2023.0,1085.007,113.76699999999983,17.40000000000009,35.45000000000073,4.959999999999923,0,1256.5840000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12671828495807597,Egypt,53425,,,2832,2590.28,2199,,131,,,,,61177.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,2023,15605.338000000003,37612.890999999996,8866.328,2164.0200000000004,992.03,,,,65240.60699999997,,,,,,,,2024.0,350.1810000000014,-12.43999999999869,63.0649999999996,0.9999999999990905,1.1368683772161603e-13,0,401.8060000000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20802909933358532,Thailand,47189,,560,3132.1000000000004,3387.611,1543.56,0.3,4542.795,,,243.685,,60599.05099999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,2024,18238.353000000003,38949.574,9574.677999999998,2241.52,947.03,,,,69951.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7941920848877974,Sweden,3539,7001,,16506,4963,17239,,3655,,,438,,53341
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,Middle East,2021,10278.346000000001,14491.640000000001,1039.25,84.498,,,,,25893.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34834440919256365,Pakistan,29165,3620,,11528.893,3719.1960000000004,1845.155,,432.07399999999996,,,,,50310.318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,2022,14208.458999999999,14841.94,1582.0500000000002,95.89800000000001,,,,,30728.347000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14260896936107198,United Arab Emirates (the),35413,5560,,,6468.197,99.1,,247.70000000000002,,,,,47787.997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,2023,19923.494,15017.94,1910.025,119.798,,0.1,,,36971.35699999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34982372266579376,Argentina,26333.338,1755,974,9195.488,1740.6000000000001,4320.32,,380.421,,,,,44699.167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,2024,23577.568999999996,15119.94,1921.435,341.9079999999999,,0.1,,,40960.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9884634074433164,Norway,342,,,34698,782.472,5152,,82.8,0.2,,133.2,,41190.672
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,Central America and the Caribbean,2021,3535.29,8322.134000000002,1993.0310000000002,2493.3360000000002,719.22,,,,17063.01100000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24392462541495444,Malaysia,29486.335,,,6267.635,2305.325,,,945.185,,,16.365,,39020.845
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,2022,3940.35,8367.057999999999,2110.9510000000005,2458.843,735.24,,,,17612.442000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6322400874581752,Chile,13776.525000000001,,,7464.866,10897.529,4716.896,83.58,521.253,,,,,37460.649000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,2023,5025.357,8480.824999999999,2128.3510000000006,2494.2930000000006,740.1999999999999,,,,18869.026000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4752911991167394,Venezuela (Bolivarian Republic of),18794.119,,,16913.81,4.0600000000000005,50.2,,56,,,,,35818.189
